GameType,Year,Units,Unit %Δ,Win Amount,Win %Δ,WPU,WUD,Win%
Sports Book,2015,197,7.65%,"231,787",2.09%,"1,176,583.76","3,223.52",5.47
Poker,2015,681,-7.47%,"118,023",-1.57%,"173,308.37",474.82,
Slot Machines,2016,"145,813",-2.38%,"7,163,156",2.28%,"49,125.63",134.22,6.65
Table Games,2016,"5,569",4.17%,"3,976,238",-0.41%,"713,994.97","1,950.81",13.82
BlackJack,2016,"2,617",-2.06%,"1,144,719",4.27%,"437,416.51",1195.13,13.4
Baccarat,2016,339,2.42%,"1,222,203",-5.27%,"3,605,318.58","9,850.60",14.33
Craps,2016,368,-1.34%,"384,069",0.33%,"1,043,665.76","2,851.55",14.8
Sports Book,2016,192,-2.54%,"219,174",-5.44%,"1,141,531.25","3,118.94",4.86
Poker,2016,661,-2.94%,"117,753",-0.23%,"178,143.72",486.73,
Slot Machines,2017,"142,309",-2.40%,"7,431,841",3.75%,"52,223.27",143.08,6.74
Table Games,2017,"5,767",3.56%,"4,139,272",4.10%,"717,751.34","1,966.44",13.76
BlackJack,2017,"2,539",-2.98%,"1,207,019",5.44%,"475,391.49","1,302.44",14.81
Baccarat,2017,371,9.44%,"1,153,531",-5.62%,"3,109,247.98","8,518.49",12.7
Craps,2017,360,-2.17%,"393,560",2.47%,"1,093,222.22","2,995.13",15.3
Sports Book,2017,192,0.00%,"248,777",13.51%,"1,295,713.54","3,549.90",5.11
Poker,2017,615,-6.96%,"118,455",0.60%,"192,609.76",527.7,
Slot Machines,2018,"141,051",-0.88%,"7,712,891",3.78%,"54,681.58",149.81,6.85
Table Games,2018,"5,688",-1.37%,"4,204,479",1.58%,"739,184.07","2,025.16",13.46
BlackJack,2018,"2,480",-2.32%,"1,146,303",-5.03%,"462,218.95","1,266.35",13.7
Baccarat,2018,363,-2.16%,"1,208,165",4.74%,"3,328,278.24","9,118.57",12.35
Craps,2018,365,1.39%,"386,466",-1.80%,"1,058,810.96","2,900.85",14.86
Sports Book,2018,190,-1.04%,"301,048",21.01%,"1,584,463.16","4,340.99",6.01
Poker,2018,599,-2.60%,"120,012",1.31%,"200,353.92",548.91,
Slot Machines,2019,"140,549",-0.36%,"7,934,710",2.88%,"56,455.12",154.67,6.9
Table Games,2019,"5,545",-2.51%,"4,096,791",-2.56%,"738,826.15","2,024.18",13.84
BlackJack,2019,"2,395",-3.43%,"1,112,604",-2.94%,"464,552.82","1,272.75",14.12
Baccarat,2019,361,-0.55%,"1,051,191",-12.99%,"2,911,886.43","7,977.77",12.93
Craps,2019,360,-1.37%,"424,678",9.89%,"1,179,661.11","3,231.95",16.03
Sports Book,2019,191,0.53%,"329,137",9.33%,"1,723,230.37","4,721.18",6.19
Poker,2019,578,-3.51%,"143,140",19.27%,"247,647.06",678.49,
Slot Machines,2020,"99,021",-29.55%,"5,416,294",-31.74%,"54,698.44",149.45,6.89
Table Games,2020,"3,860",-30.39%,"2,457,020",-40.03%,"636,533.68","1,739.16",12.87
BlackJack,2020,"1,639",-31.57%,"643,013",-42.21%,"392,320.32","1,071.91",14.01
Baccarat,2020,280,-22.44%,"604,288",-42.51%,"2,158,171.43","5,896.64",11.29
Craps,2020,254,-29.44%,"264,115",-37.81%,"1,039,822.83","2,841.05",17.18
Sports Book,2020,148,-22.51%,"262,797",-20.16%,"1,775,655.41","4,851.52",6.05
Poker,2020,313,-45.85%,"91,361",-36.17%,"291,888.18",797.51,
Slot Machines,2021,"118,952",20.13%,"9,235,930",70.52%,"77,644.18",212.72,7.14
Table Games,2021,"4,808",24.56%,"4,194,020",70.70%,"872,300.33","2,389.86",13.52
BlackJack,2021,"1,957",19.40%,"1,130,529",75.82%,"577,684.72","1,582.70",14.14
Baccarat,2021,370,32.14%,"939,142",55.41%,"2,538,221.62","6,954.03",14.1
Craps,2021,318,25.20%,"407,670",54.35%,"1,281,981.13","3,512.28",15.37
Sports Book,2021,176,18.92%,"445,133",69.38%,"2,529,164.77","6,929.22",5.46
Poker,2021,440,40.58%,"187,831",105.59%,"426,888.64","1,169.56",
Slot Machines,2022,"122,997",3.40%,"10,008,544",8.37%,"81,372.26",222.94,7.16
Table Games,2022,"4,954",3.04%,"4,833,685",15.25%,"975,713.56","2,673.19",13.83
BlackJack,2022,"2,016",3.01%,"1,293,265",14.39%,"641,500.50","1,757.54",14.18
Baccarat,2022,394,6.49%,"1,176,881",25.31%,"2,987,007.61","8,183.58",14.7
Craps,2022,322,1.26%,"447,165",9.69%,"1,388,711.18","3,804.69",15.95
Sports Book,2022,176,0.00%,"446,698",0.35%,"2,538,056.82","6,953.58",5.13
Poker,2022,474,7.73%,"219,011",16.60%,"462,048.52","1,265.89",
