,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        New Caledonia,0.734829446,0.734829446,0.514380612,0.440897668,0.514380612,0.462942551,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.606666667,0.651780822,0.608328767,0.608328767,0.606666667,0.477972603,0.477972603,0.608328767,0.686833333,0.65829863,0.673506849,0.006517808,0.65,0.647435616,0.65829863,0.636572,0.660833,0.690887671,0.68688356,0.70948298
        New Zealand,7,6,6,5,6.718579,7.084932,8.339726,10.734247,11.959016,14.254795,15.082192,14.013699,13.693989,14.810959,15.841096,18.189041,18.155738,17.813699,19.268493,19.641096,19.934426,21.20274,20.572603,21.873973,23.617486,22.983562,22.945205,22.178082,22.81694,21.457534,22.4,22.958904,22.442623,22.745205,22.506849,22.769863,28.79235,31.780822,33.843836,33.361644
        Nicaragua,0.282608696,0.282608696,0.282608696,0.282608696,0.260869565,0.304347826,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.2,0.3,0.4,0.5,0.5,0.5,0.888333333,0.99939726,0.49969863,0.521424658,0.411666667,0.369342466,0.369342466,0.564876712,0.65,0.434520548,0.543150685,0.608328767,0.498333333,0.543150685,0.608328767,1,1,0.608328767,0.39106849,0.36934247
        Niger,0.64,0.64,0.64,0.48,0.48,0.48,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.325,0.195534247,0.217260274,0.217260274,0.26,0.282438356,0.282438356,0.304164384,0.303333333,0.304164384,0.304164384,0.325890411,0.26,0.477972603,0.673506849,1,1,1.021123288,0.96898082,1.00775342
        Nigeria,7.924074964,9.322441134,10.02162422,9.415665545,9.788563191,10.34790966,9.7,8.9,7,13,13,11,7.4,8.3,0,0,8.5,11,14,9.4,4.008333333,4.041041096,4.062767123,4.084493151,4.095,4.84490411,4.888356164,5.018712329,18.04833333,13.73084932,11,12,13,11,8,10,13,15.01268493,18.40563863,15.45693874
        Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008233333,0.008145088,0.00814726,0.00814726,0.008125,0.010080181,0.008672813,0.009570011,0.017912288,0.0094964,0.00744893,0.009863675,0.009611538,0.010460514,0.010872877,0.010841,0.01105,0.010428493,0.01047195,0.01047195
        North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        North Macedonia,,,,,,,--,--,--,--,--,--,0.2,0.2,0.4,0.4,0.4,0.4,0.3,0.8,0.606666667,0.477972603,0.434520548,0.152082192,0.108333333,0.130356164,0.08690411,0.152082192,0.13,0.065178082,0.152082192,0.08690411,0.173333333,0.217260274,0.260712329,0.304164384,0.312,0.438583315,0.494745096,0.58584233
        Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
        Norway,6,7,6,4,7.147541,7.967123,8.679452,11.312329,11.106557,11.271233,10.558904,10.167123,10.702186,10.386301,11.939726,11.893151,12.814208,13.608219,13.682192,15.868493,13.693989,13.30137,13.430137,11.723288,13.459016,14.230137,15.608219,15.652055,15.587432,15.476712,16.863014,17.627397,18.836066,19.153425,20.394521,19.487671,19.150273,19.961644,18.336986,19.547945
        Oman,2.125,2.125,2.5,2.625,3.125,3.75,3.7,3.1,2.2,2.6,5.9,5.6,4.9,4.1,3,3.4,3.3,3.7,3.9,3.9,4.441666667,5.496684932,7.777917808,7.777917808,4.138333333,4.714547945,6.561260274,6.365726027,5.871666667,6.669890411,8.842493151,9.494273973,10.18333333,10,11,11,5,14.0350137,9.56438386,13.81918734
        Pakistan,6.895720313,7.492465341,8.884870404,9.083785413,9.282700422,10.60880048,11,11,10,12,11,11,8.9,5.7,15,14,13,13,13,16,13.845,14.16536986,15.79482192,14.53471233,16.35833333,17.27219178,16.55523288,13.81775342,14.47333333,15.46893151,16.03380822,4.345205479,14.97166667,15.81654795,14.29572603,15,17,17,18.09778082,20.43550137
        Palestinian Territories,,,,,,,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Panama,2.228571429,2.2,2.114285714,2.171428571,2.142857143,1.857142857,1.9,1.8,1.7,1.5,1.7,0.8,1.4,0.9,0.5,1.1,0.5,3.2,3.5,0,3.726666667,3.563068493,3.823780822,3.75860274,4.095,4.280027397,4.584191781,5.583589041,6.435,7.734465753,9.168383562,9.950520548,9.923333333,11.62342466,13.01389041,14,15,17.61980822,15.81654795,15.70791781
        Papua New Guinea,1.083333333,1.083333333,1.083333333,1.083333333,1.263888889,1.263888889,1.3,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.4,1.4,1.5,1.4,1.4,1.456140357,1.530497474,1.618456512,1.759193373,1.929824,1.935111189,1.794376501,1.694630137,1.82,1.738082192,1.868438356,1.716356164,2.270369863,2.496320548,0.99939726,2.413017736,3.671255242,2.800050411,2.82581227,3.0937863
        Paraguay,0.363302752,0.333944954,0.330275229,0.348623853,0.366972477,0.403669725,0.4,0.4,0.4,0.4,0.9,1,0.5,0.6,0.5,0.5,0,0.2,0.3,0.4,0.281666667,0.152082192,0.434520548,0.543150685,0.346666667,0.347616438,0.49969863,0.521424658,0.541666667,0.456246575,0.543150685,0.543150685,0.606666667,0.695232877,0.803863014,1,1,1.303561644,1.56427397,1.54254795
        Peru,7.541237113,7.768041237,7.711340206,7.030927835,7.201030928,7.087628866,7.7,7.4,6.4,7.8,5.8,5.6,5.7,6.3,5.4,8.6,9.7,9.5,9.1,8.4,7.28,7.538931507,4.236575342,7.104410959,9.295,6.604712329,9.820164384,3.606520548,12.22,11.9710411,13.31805479,16.35969863,13.975,15.29512329,16.85939726,18,20,21.61739726,21.98673973,23.02958904
        Philippines,10.51800379,9.910296905,9.770056854,9.115603285,7.806696147,7.105495894,7.4,8.8,10,12,12,13,11,16,13,14,17,19,14,17,16.77,17.40254795,16.42487671,17.64153425,19.24,19.72723288,21.11769863,22.81232877,24.22333333,25.50635616,26.65783562,30.41643836,31.17833333,34.71819178,34.80509589,36,41,44.34282192,48.51204658,49.30070137
        Poland,1,1,4,4,4.163934,4.273973,6.049315,7.10137,7.508197,10.356164,4.635616,4.8,5.180328,5.183562,5.243836,5.654795,6.628415,5.958904,6.112329,5.460274,5.79235,5.720548,5.59726,6.046575,5.923497,6.761644,9,9.369863,11.196721,10.167123,10.706849,10.493151,11.560109,11.331507,12.758904,13.947945,14.76776,18.4,21.761644,23.243836
        Portugal,5,6,12,8,8.612022,9.131507,9.717808,10.167123,10.29235,11.506849,12.19726,12.482192,12.937158,12.287671,12.49863,13.035616,13.068306,13.473973,14.334247,15.564384,16.557377,15.887671,15.520548,16.389041,17.614754,18.520548,19.408219,21.024658,21.464481,20.227397,21.868493,22.276712,22.196721,22.586301,23.273973,25.153425,27.300546,30.742466,32.821918,34.558904
        Puerto Rico,8.14340589,8.14340589,8.14340589,8.14340589,8.14340589,8.14340589,8.14340589,8.5377943,8.60040568,7.328212291,8.358422939,5.594778661,4.901734104,4.514814815,7.066666667,6.883116883,5.524627721,0.827075509,0.692005041,0.962386511,9.049180328,20,6.40750137,9.361643836,7.885245902,7.219178082,13.96325479,13.66827397,9.248218579,8.208219178,3.44109589,7.915068493,5.202185792,2.745430137,3.904109589,3.917808219,1.949141421,8.9376,7.263167123,4.441095891
        Qatar,1.167103999,1.235757176,1.441716705,1.510369882,1.647676235,1.716329411,1.9,2.3,2.3,2.1,2.2,2.3,1.5,2.1,2.2,2,2.2,4.3,3.9,3.7,3.9,7.039232877,15.25167123,12.94871233,7.323333333,9.863616438,12.70972603,16.12071233,18.56833333,22.18227397,24.57213699,31.26375342,41.64333333,48.66630137,44.62526027,57.29153425,71.54380822,71.56553425,94.12099619,100.0147026
        Reunion,0.753588747,0.753588747,0.823690026,0.946367264,1.051519182,1.033993863,1,1.1,1,1.2,0.9,1,1,1,1.1,1.1,1.1,1.1,3.7,3.7,4.079833333,3.571758904,3.528306849,3.189380822,3.891333333,3.176345205,3.169827397,2.883043836,3.484,3.541342466,3.919375342,4.323479452,ie,ie,ie,ie,ie,ie,ie,ie
        Romania,0,0,0,0,0,0,0,0,0,8.1,7.2,7.8,7.5,5.6,5.7,5,5.2,3.6,2,2.3,2.968333333,3.163333333,1.564273973,2.476767123,2.99,2.389863014,3.150273973,3.497890411,3.835,3.041643836,3.280630137,3.410986301,3.033333333,3.063369863,3.867232877,5,6,6.344,3.62824658,4.01931507
        Russia,,,,,,,--,--,--,--,--,--,302,266,206,201,182,184,173,180,188.8683333,194.7955616,201,205.376137,201.1316667,218.042411,230.3393425,232.4467671,246.87,226.9283562,241.6586027,261.8577808,269.4618904,256.932,241.854137,213,206,213.2626849,241.028548,247.6767123
        Rwanda,0.048301436,0.109775991,0.105384951,0.11855807,0.193205744,0.197596784,0.2,0.2,1.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.39,0.400604047,0.40294394,0.410965189,0.418578333,0.439991162,0.496198567,0.535322797,0.52,0.543150685,0.584430137,0.673506849,0.7605,0.736512329,0.756283014,0.978105,0.9425,1.127580822,0.51164795,0.4779726
        Saint Helena,0,0,0,0,0,0,0,0.02172,0.02166,0.02172,0.02172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0.080386301,0.082558904,0.082558904,0.0845,0.08690411,0.089076712,0.091249315,0.093166667,0.093421918,0.097767123,0.104284932,0.101833333,0.104284932,0.104284932,0.10863,0.10863,0.117320548,0.112975343,0.112975343
        Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65262814,0.65010792
        Saint Pierre and Miquelon,0.000153442,0.000153442,0.000138098,0.000153442,0.000153442,0.000138098,0.00017,0.00086,0.00171,0.00172,0.00172,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02172,0.021726027,0.006283333,0.008473151,0.009124932,0.00782137,0.004983333,0.006517808,0.006517808,0.008690411,0.010833333,0.003556551,0.002611251,0.002190201,0.001916417,0.001082608,0.001086301,0.001086301,0.001,0.001303562,0.00130356,0.00130356
        Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.160772603,0.165117808,0.173808219,0.184166667,0.193361644,0.199879452,0.208569863,0.2145,0.225950685,0.236813699,0.243331507,0.242666667,0.23029589,0.247676712,0.263536,0.271575,0.282438356,0.271575343,0.271575343
        Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.067350685,0.084731507,0.08690411,0.108333333,0.119493151,0.130356164,0.152082192,0.173333333,0.195534247,0.212915068,0.217260274,0.216666667,0.217260274,0.217260274,0.22595,0.234641,0.24550411,0.10050134,0.07488336
        Saudi Arabia,16.90965092,18.57289528,19.95893224,21.89938398,23.56262834,26.02977413,27,41,41,43,45,47,52,53,52,51,53,53,52,49,53.56,50.73027397,51.59931507,50.83890411,52.49833333,49.94813699,49.70915068,51.36032877,54.96833333,56.31386301,57,58,60,56,66,76.410438,78,88.01213699,92.24871233,91.20586301
        Senegal,2.528205128,2.528205128,2.528205128,2.379487179,2.974358974,2.825641026,2.9,3,2.8,3.5,2.9,2.9,2.8,3.2,3,3.2,3.2,3.3,3.9,3.8,5.395,4.84490411,3.888958904,4.605917808,5.243333333,5.301150685,5.583589041,6.821972603,6.933333333,4.497287671,4.910082192,4.758,4.398333333,5.779123288,5.713945205,6,5,4.910082192,4.38865753,4.2356194
        Serbia,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,1.126666667,1.021123288,1.018333333,0.847315068,0.869041096,0.977671233,0.801666667,0.890767123,1.433917808,1.325287671,1.348,2.77200211,2.931340795,2.98294011
        Seychelles,0.225574086,0.180459269,0.165420996,0.285727176,0.300765448,0.31580372,0.3,0.3,0.5,0.5,0.4,0.5,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.6812,0.791696438,0.580084932,0.678938356,1.00035,0.697405479,0.756283014,0.748027123,0.944255,1.052626027,1.088691233,0.858178082,0.686183333,0.645914795,0.686107945,0.874255,0.994834,1.30052,0.68784603,1.07867553
        Sierra Leone,0.258322728,0.258322728,0.278988546,0.258322728,0.258322728,0.284155001,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.238986301,0.234641096,0.232468493,0.232468493,0.230947671,0.232468493,0.250414192,0.217260274,0.212915068,0.210742466,0.20639726,0.208569863,0.210742466,0.204224658,0.202052055,0.197706849,0.184671233,0.189016438,0.10717002,0.08401902
        Singapore,17.26495727,18.29059829,18.97435897,18.8034188,20.08547009,19.4017094,22,25,30,29,39,33,35,45,55,54,55,61,67,74,82,79.62589041,82.58063014,71.32654795,86.68833333,92.57460274,99.65728767,103.850411,105.8633333,103.6548767,116.9077534,126.0109589,139.425,146.1292603,147.0852055,150,159,169.2240274,177.8026797,183.117344
        Slovakia,,,,,--,--,--,--,--,--,--,--,--,0,0.679452,0.854795,0.830601,0.767123,0.613699,0.438356,0.546448,0.652055,0.975342,0.712329,0.562842,0.821918,0.852055,1.041096,1.311475,0.953425,0.854795,0.90411,0.765027,0.857534,0.739726,0.90137,1.027322,0.849315,0.986301,0.945205
        Slovenia,,,,,,,--,--,--,--,--,--,0.229508,0.353425,0.372603,0.410959,0.371585,0.391781,0.391781,0.427397,0.513661,0.569863,0.6,0.536986,0.415301,0.482192,0.517808,0.679452,0.73224,0.580822,0.580822,0.50411,0.502732,0.536986,0.547945,0.536986,0.442623,0.558904,0.742466,0.569863
        Solomon Islands,0,0,0,0,0,0,0,0.088,0.04333,0.04345,0.04345,0.04345,0.04333,0.04345,0.04345,0.04345,0.04333,0.04345,0.04345,0.043452055,0.043333333,0.043452055,0.043452055,0.043452055,0.043333333,0.043452055,0.043452055,0.065178082,0.054166667,0.056053151,0.058008493,0.058660274,0.060666667,0.063005479,0.065178082,0.06735,0.05866,0.068502164,0.06982745,0.07076167
        Somalia,0.976242701,1.136890234,1.124532732,1.099817727,1.136890234,1.124532732,1.2,0.8,0.7,0.7,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.975,0.977671233,0.977671233,0.977671233,0.975,0.977671233,0.977671233,0.912493151,0.91,0.912493151,0.912493151,0.912493151,0.91,0.912493151,0.912493151,0.912493,0.912493,0.933741206,0.93374121,0.93374121
        South Africa,10.6910337,11.1022273,11.95888064,11.58195317,12.33580811,11.99314677,12,10,9.8,9.8,10,11,17,20,22,24,25,31,32,34,33.93,32.41523288,35.65241096,35.84794521,35.68374747,37.47739726,39.08512329,41.30117808,40.755,40.38868493,39.69345205,42.60473973,41.51333333,41.30117808,39.51096259,42,45,48,45.60293151,50.41020614
        South Korea,13,15,18,21,10.090164,11.723288,13.906849,15.271233,17.871585,23.243836,28.024658,30.20274,36.030055,39.909589,53.183562,62.246575,67.445355,72.865753,61.238356,70.783562,69.377049,68.473973,73.991781,81.139726,84.969945,88.6,90.145205,94.835616,91.431694,90.336986,98.961644,102.613699,108.814208,111.306849,118.641096,125.750685,134.874317,139.545205,146.10411,146.619178
        South Sudan,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.845,0.99939726,1.042849315,1.629452055,1.738082192,1.716356164,1.69439115,1.9058723
        Spain,47,38,39,38,43.101093,40.89589,39.786301,43.805479,49.581967,47.194521,45.747945,50.410959,55.505464,54.750685,58.421918,63.947945,69.065574,73.89863,78.624658,85.90137,91.89071,93.871233,90.263014,94.715068,104.721311,111.90137,117.060274,123.142466,121.234973,110.819178,113.279452,120.816438,113.639344,110.753425,113.684932,119.50137,126.898907,138.430137,144.391781,149.419178
        Sri Lanka,2.611452371,2.611452371,2.688259793,2.765067216,2.995489484,2.534644948,2.4,2.3,2.1,2.2,2.9,2.2,2.8,3.2,3.2,3.7,4.4,4.8,4.8,6.7,5.655,4.453835616,4.627643836,5.409780822,7.085,6.84369863,9.342191781,7.234767123,7.388333333,4.975260274,4.823178082,6.84369863,9.078333333,7.604109589,10.01569863,8,11,11.92758904,11.08679178,10.40242192
        Sudan,1.414285714,1.478571429,1.607142857,1.542857143,1.414285714,1.607142857,1.8,1.9,1.6,1.7,1.5,3,2.8,2.9,1.7,2.9,3,3,3,0.8,2.188333333,2.520219178,2.628849315,3.975863014,5.308333333,6.669890411,5.692219178,4.888356164,5.351666667,5.561863014,5.779123288,6.669890411,4.745,5.301150685,5.301150685,4,5,6,2.71575342,1.37319356
        Suriname,0.491425215,0.421221613,0.386119812,0.280814409,0.235182067,0.301875489,0.3,0.2,0.1,0.1,0.3,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.476666667,0.471454795,0.636572603,0.664816438,0.693333333,0.727821918,0.760410959,0.795172603,0.829833333,0.869041096,0.916838356,0.947254795,0.983666667,1.025468493,1.040676712,1,1,0.977671233,0.95594521,0.95594521
        Sweden,9,13,9,7,7.281421,7.038356,8.613699,10.317808,11.928962,13.405479,11.460274,12.00274,13.846995,17.421918,17.682192,17.857534,17.661202,18.268493,18.476712,19.734247,19.464481,19.887671,15.153425,14.723288,17.677596,17.989041,18.358904,18.063014,20.469945,18.569863,17.857534,19.265753,18.409836,20.383562,18.838356,19.169863,21.076503,22.635616,23.40274,22.038356
        Switzerland,16,17,16,18,17.702186,18.928767,20.076712,20.427397,21.871585,22.90411,24.076712,22.863014,24.483607,25.413699,26.073973,27.482192,28.289617,29.389041,30.635616,32.638356,33.934426,32.706849,29.687671,26.682192,25.106557,25.517808,26.750685,28.517808,30.437158,29.273973,30.736986,32.775342,33.5,33.939726,34.175342,35.323288,36.907104,37.890411,40.052055,40.463014
        Syria,4.341226472,4.735883424,4.77534912,5.485731633,6.077717061,6.472374013,6.5,6.8,8.1,11,10,7,6.2,6.3,6.5,4.5,4.3,5.7,6.3,5.7,8.06,5.692219178,6.539534247,5.018712329,7.67,6.604712329,6.43090411,2.628849315,3.401666667,2.520219178,1.955342466,1.868438356,1.343333333,2,2,2,1,1.368739726,2.8548,2.2204
        Taiwan,11.2787534,10.0915162,9.794706901,10.00247341,11.39747712,11.21939154,12,12,15,15,16,5.7,7.6,13,32,38,41,42,44,48,44.23548819,42.87011286,44.73571121,42.94051865,48.46027082,51.24414577,52.80041354,51.75638839,45.23999038,43.0244163,47.30173171,47.20985612,49.10391106,52.17373998,56.93757215,60.849539,63.991253,66.77255387,76.10627397,78.90893151
        Tajikistan,,,,,,,--,--,--,--,--,--,0,0.4,0,0,0.1,0.1,0.1,0.1,0.065,0.08690411,0.108630137,0.08690411,0.13,0.238986301,0.434520548,0.521424658,0.563333333,0.58660274,0.630054795,0.673506849,0.715,0.760410959,1.325287671,1,1,0.391068493,0.627882192,0.8712137
        Tanzania,1.37063381,1.68693392,1.58150055,1.37063381,1.58150055,1.58150055,1.9,0.6,1.3,2,1.2,1.2,1.6,2.4,1.3,0.9,0.9,0.9,0.9,1,1.191666667,1.368739726,1.455643836,1.564273973,1.668333333,1.803260274,1.890164384,2.042246575,2.145,2.17260274,2.302958904,2.476767123,2.6,2.802657534,2.998191781,3.649972,4,4,3.67873786,3.74626236
        Thailand,22.94494238,21.9206146,20.38412292,21.9206146,23.86683739,23.04737516,24,26,31,37,41,44,47,50,56,55,57,61,57,57,60.03539884,64.0544499,65.09347807,64.81088998,72.8923944,73.96743345,77.85818902,84.9797536,79.67316218,76.35909365,81.18721461,87.47307659,87.49011926,95.84561041,94.99612303,104,111,115.8693336,120.7119808,121.6809616
        The Bahamas,0.741721854,0.768211921,0.662251656,0.503311258,0.450331126,0.397350993,0.4,0.9,3.1,1.9,1.2,1,1.3,1.5,1.2,0.4,0.4,0.4,0.5,0.5,0.745901639,0.632876712,1.961643836,0.597260274,0.743169399,0.78630137,2.309589041,3.657534247,4.163934426,1.197260274,0.457534247,0.41369863,0.420765027,0.342465753,0.438356164,0.473972,0.431693,2.235616438,0.49774329,0.62918575
        Timor-Leste,,,,,,,,,,,,,,,,,,,,--,--,--,--,0.043452055,0.043333333,0.04779726,0.052142466,0.054315068,0.0585,0.063005479,0.065178082,0.065178082,0.069333333,0.069523288,0.069523288,0.06735,0.065866,0.067133425,0.07321671,0.06344
        Togo,0.341666667,0.316666667,0.308333333,0.333333333,0.391666667,0.366666667,0.3,0.02042,0.3,0,0.3,0.8,0.8,0.1,0,0,0,0,0,0.4,0.498333333,0.890767123,0.391068493,0.630054795,1.17,1.216657534,1.021123288,0.912493151,1.321666667,1.520821918,1.694630137,1.433917808,1.56,1.629452055,1.716356164,0.608328767,1.151479452,1.173205479,1.3470137,1.28183562
        Tonga,0.069947408,0.104921112,0.104921112,0.104921112,0.104921112,0.104921112,0.06517,0.1,0.065,0.0869,0.0869,0.1,0.065,0.06517,0.06517,0.06517,0.065,0.06517,0.06517,0.065178082,0.022316667,0.00825589,0.022812329,0.025853973,0.00845,0.060181096,0.049535342,0.00803863,0.020583333,0.024984932,0.069523288,0.08690411,0.0845,0.025115288,0.092270438,0.103415,0.066733,0.101460548,0.0803863,0.00243332
        Trinidad and Tobago,4.363636364,4.051948052,3.116883117,2.701298701,2.597402597,2.493506494,2.4,1.9,1.4,1,1.2,1.1,1,1.3,2,1.4,2.8,1.5,1.2,1.7,2.231666667,2.020520548,1.455643836,1.607726027,8.298333333,10.49367123,10.27641096,10.18950685,10.48666667,10.10260274,7.951726027,8.755589041,5.806666667,8.212438356,7.060958904,7.647561,8.926666,6.93060274,5.71394521,5.36632877
        Tunisia,1.691056911,1.853658537,1.691056911,1.918699187,1.853658537,1.788617886,2,3.5,3.6,6.3,4.1,4.1,4.1,4.7,5.1,5.8,5.4,6.3,6.5,6.9,6.001666667,5.713945205,4.692821918,4.345205479,4.961666667,4.627643836,4.605917808,4.823178082,4.918333333,4.366931507,5.301150685,5.366328767,6.196666667,6.43090411,5.974657534,4,5,5.627041096,6.25709589,6.61637921
        Turkiye,3,5,3,4,4.625683,4.276712,5.767123,5.873973,8.180328,8.846575,10.084932,10.430137,11.519126,14.531507,17.353425,24.183562,26.030055,31.172603,32.832877,24.849315,26.439891,26.082192,34.849315,36.572603,39.010929,42.252055,37.19726,45.745205,43.770492,45.273973,34.241096,31.238356,29.797814,45.139726,75.734247,100.517808,100.693989,100.347945,106.586301,117.915068
        Turkmenistan,,,,,,,--,--,--,--,--,--,2.2,1.7,5.3,4.3,4.8,4.6,5.4,5.4,6.933333333,6.995780822,8.01690411,8.103205479,8.1,8.559452055,8.907671233,9.559452055,9.966666667,10.42849315,11.51479452,10.42849315,8.991666667,9.885342466,10.21123288,10,10,10.21123288,10.21123288,8.1954486
        Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53228767,0.53663288
        Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
        U.S. Pacific Islands,0.1375,0.1375,0.1375,0.1375,0.125,0.1125,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.303333333,0.304164384,0.304164384,0.304164384,0.303333333,0.304164384,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
        U.S. Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        U.S. Virgin Islands,3.744680851,3.744680851,3.744680851,3.744680851,3.744680851,3.744680851,3.744680851,1.671062591,0.865139949,0.4,1.718464351,4.308374025,2.995356115,2.048417132,0.599647266,2.842105263,3.907637655,3.460207612,3.300330033,1.790633609,12.72677596,9.715068493,10.61654521,12.66849315,11.72786066,10.76164384,8.317808219,7.65330137,1.185521858,1.147219178,3.951142466,2.955076712,1.946202186,0.756331507,2.156164384,2.454794521,1.816533206,1.816533206,1.816533206,1.816533206
        Uganda,0.227790433,0.145785877,0.173120729,0.16856492,0.173120729,0.186788155,0.2,0.4,0.3,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.758333333,0.760410959,0.782136986,0.782136986,0.801666667,0.803863014,0.825589041,1.694630137,1.711016667,1.793483562,1.87126274,2.156770006,2.382456137,2.002144566,1.803172314,1.803172,2.121087,2.21591401,2.34887382,2.30629274
        Ukraine,,,,,,,--,--,--,--,--,--,32,26,14,19,14,14,14,14,5.525,5.301150685,6.365726027,7.84309589,7.93,7.908273973,7.060958904,7.560657534,5.525,5.105616438,5.800849315,5.214246575,6.213643836,3.128547945,3.150273973,2.628849,2.621666,5.713945205,6.821972603,2.759205479
        United Arab Emirates,5.777563794,10.5536832,11.40105922,11.4780934,11.78623014,14.25132403,16,17,18,18,18,26,26,18,21,5.4,5.7,4.2,15,11,67.70833333,69.50156164,70.30542466,72.00005479,73.99166667,63.61380822,71.19619178,81.38569863,84.97666667,83.77556164,86.83893151,90.72789041,101.8116667,102.8292877,127.3579726,176.2198082,180.356,167.9639178,156.1536493,163.7481126
        United Kingdom,108,105,105,106,103.95082,108.09589,118.673973,125.545205,133.491803,141.709589,142.271233,133.419178,143.606557,153.520548,157.164384,166.586301,174.439891,182.90411,200.479452,215.30137,233.34153,229.791781,227.810959,233.10137,250.52459,269.80274,272.906849,271.460274,263.013661,248.983562,239.986301,249.868493,241.565574,242.70411,242.210959,244.646575,244.139344,263.013699,264.945205,265.739726
        United States,850.8224044,809.4986301,803.7287671,838.9863014,952.9945355,1004.652055,1105.090411,1180.873973,1235.934426,1284.416438,1340.30137,1295.654795,1309.92623,1357.394521,1479.912329,1497.175342,1574.647541,1597.972603,1622.969863,1674.712329,1725.510929,1655.641096,1620.435616,1578.186301,1629.919363,1678.989786,1632.905447,1622.385373,1538.55385,1393.189756,1431.649071,1425.342899,1398.133358,1434.398266,1469.927937,1548.242622,1614.227352,1682.175647,1707.016948,1743.384052
        Uruguay,0,0,0,0,0,0,0,0.7,0.7,0.01206,0.5,0.7,0.7,0.6,0.6,0,0,0.04676,1.3,0.1,0.953333333,1.021123288,0.847315068,0.673506849,0.953333333,0.912493151,1.216657534,1.520821918,1.473333333,1.49909589,1.629452055,2.020520548,2.036666667,1.607726027,1.738082192,2,2,2.194328767,2.3029589,2.15087671
        Uzbekistan,,,,,,,--,--,--,--,--,--,4.3,5.3,5.4,4.3,6.9,6.5,6.3,6.4,6.326666667,6.24,6.131666667,6.673333333,6.846666667,4.723333333,4.723333333,4.301753425,4.203333333,3.975863014,3.367534247,3.172,2.824383562,2.67230137,2.520219178,4,4,4,4,3.49254581
        Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.115147945,0.125666667,0.126010959,0.130356164,0.13470137,0.1365,0.130356164,0.132528767,0.132528767,0.134333333,0.136873973,0.156427397,0.141219,0.140833,0.141219178,0.23053488,0.23955118
