,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Costa Rica,0.355555556,0.355555556,0.333333333,0.355555556,0.311111111,0.333333333,0.3,0.7,0.6,0.9,1,0.9,1.3,1.9,2.7,2.4,1.9,1.8,2.3,2.4,2.405,1.694630137,2.302958904,2.346410959,2.47,3.888958904,3.975863014,3.736876712,4.246666667,3.302356164,3.628246575,4.019315068,3.715150685,3.519616438,3.910684932,4,4,4.432109589,4.73627397,5.01871233
        Cote d'Ivoire,1.688888889,1.80952381,1.688888889,1.80952381,1.749206349,1.80952381,1.9,1.9,1.9,2.5,2.3,1.1,1.2,1.8,1.3,1.3,2.3,1.9,1.8,1.8,2.513333333,2.237780822,2.150876712,1.911890411,1.906666667,1.911890411,1.911890411,1.021123288,1.148333333,1.194931507,1.238383562,1.281835616,1.321666667,1.216657534,1.433917808,3.410986,4,4,3.43271233,3.91327033
        Croatia,,,,,,,--,--,--,--,--,--,1.8,1.5,2,2,1.9,1.9,1.9,1.8,1.56,1.564273973,1.49909589,1.477369863,1.69,2.020520548,2.08569863,2.17260274,2.448333333,2.107424658,2.237780822,2.368136986,2.476767123,2.694027397,2.694027397,3,3,3.280630137,4.432109589,4.34086027
        Cuba,3.923146067,4.000449438,4.328988764,3.981123596,4.116404494,4.193707865,4.3,4.4,4.7,4.6,3.5,3.2,4.1,3.8,4,3.6,4.1,6.1,5.8,5.9,7.865,7.625835616,6.756794521,7.169589041,8.493333333,7.408575342,4.084493151,7.039232877,5.915,2.867835616,2.911287671,3.128547945,2.563671233,2.346410959,2.498493151,2,3,2.759205479,1.59686301,1.6235643
        Cyprus,2.857142857,2.428571429,2.571428571,2.857142857,2.857142857,3,3.2,3.7,1.6,4.5,6.5,6.1,5.9,5,9.5,9.8,10,5.6,5.8,5.9,6.11,7.321671233,6.561260274,7.017506849,6.435,6.561260274,6.582986301,6.235369863,6.196666667,6.191917808,5.866027397,6.387452055,5.84430137,5.214246575,5.018712329,5,6,6.300547945,6.75679452,6.47435616
        Czechia,--,--,--,--,--,--,--,--,--,--,--,--,--,2.893151,3.610959,3.884932,2.928962,3.408219,4.035616,3.80274,4.13388,4.421918,4.210959,5.416438,6.931694,7.232877,7.320548,7.942466,8.330601,7.726027,7.120548,7.383562,6.52459,6.282192,6.460274,6.887671,7.407104,8.441096,9.19726,9.673973
        Denmark,17,14,11,12,11.557377,11.805479,12.282192,13.271233,14.226776,15.610959,14.983562,13.841096,14.032787,15.156164,16.147945,16.6,17.614754,17.057534,17.421918,18.632877,17.521858,18.241096,16.106849,15.865753,18.923497,20.115068,19.430137,20.230137,19.480874,17.271233,18.172603,18.958904,18.472678,18.846575,19.986301,19.435616,21.308743,21.70411,21.756164,22.490411
        Djibouti,2.666666667,2.133333333,2.133333333,1.6,1.333333333,1.333333333,1.2,1.2,1.2,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.841666667,1.846712329,1.846712329,2.063972603,2.058333333,1.890164384,1.629452055,1.679421918,1.5405,1.703320548,1.887991781,1.764153425,1.781534247,1.870610959,1.907545205,1.937961,1.729,1.738082192,1.73808219,1.73808219
        Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0.006517808,0.00760411,0.008690411,0.008666667,0.008690411,0.010863014,0.010863014,0.015166667,0.013035616,0.016946301,0.016946301,0.012383836,0.014121918,0.013470137,0.013252,0.01365,0.013252877,0.01336151,0.01336151
        Dominican Republic,0.565957447,0.55106383,0.580851064,0.7,0.610638298,0.625531915,0.7,0.7,0.7,3,3.2,3.4,0.4,1.6,0.4,0.4,0.4,1.3,1.5,1.5,9.208333333,8.407972603,7.169589041,8.42969863,9.208333333,9.038027397,8.92939726,8.994575342,8.97,9.01630137,8.885945205,9.038027397,10.16778082,9.255287671,10.29813699,11,11,11.71032877,12.3084463,10.91719841
